NAICS,SIC
425110,5141
425120,5141
445110,5141
424420,5142
425110,5142
425120,5142
454390,5142
424430,5143
425110,5143
425120,5143
445299,5143
424440,5144
425110,5144
425120,5144
445210,5144
424450,5145
425110,5145
425120,5145
445292,5145
424460,5146
425110,5146
425120,5146
445220,5146
311612,5147
424470,5147
425110,5147
425120,5147
445210,5147
424480,5148
425110,5148
425120,5148
445230,5148
312112,5149
424490,5149
425110,5149
425120,5149
445299,5149
453910,5149
424510,5153
425110,5153
425120,5153
444220,5153
424520,5154
425110,5154
425120,5154
424590,5159
425110,5159
425120,5159
444220,5159
424610,5162
425110,5162
425120,5162
453998,5162
424690,5169
425110,5169
425120,5169
424710,5171
454310,5171
454310,5171
424720,5172
425110,5172
425120,5172
424810,5181
425110,5181
425120,5181
445310,5181
424820,5182
425110,5182
425120,5182
445310,5182
424910,5191
425110,5191
425120,5191
444220,5191
424920,5192
425110,5192
425120,5192
451211,5192
424930,5193
425110,5193
425120,5193
444220,5193
424940,5194
425110,5194
425120,5194
453991,5194
424950,5198
425110,5198
425120,5198
424310,5199
424340,5199
424610,5199
424990,5199
425110,5199
425120,5199
453220,5199
453910,5199
453991,5199
541890,5199
444110,5211
444190,5211
444120,5231
444190,5231
444130,5251
444210,5261
444220,5261
453930,5271
452210,5311
452311,5311
452319,5331
452210,5399
452311,5399
452319,5399
445110,5411
445120,5411
447110,5411
452210,5411
452311,5411
454390,5411
445210,5421
445220,5421
454390,5421
445230,5431
454390,5431
311340,5441
311352,5441
445292,5441
445299,5451
311811,5461
445291,5461
722515,5461
445210,5499
445299,5499
446191,5499
441110,5511
441120,5521
441310,5531
441320,5531
452319,5531
447110,5541
447190,5541
441222,5551
441210,5561
441228,5571
441228,5599
448110,5611
448150,5611
448120,5621
448190,5621
448150,5632
448190,5632
448130,5641
448140,5651
448210,5661
315220,5699
315220,5699
315240,5699
448150,5699
448190,5699
337110,5712
337121,5712
337122,5712
442110,5712
442210,5713
314120,5714
314120,5714
442291,5714
451130,5714
327110,5719
442291,5719
442299,5719
443141,5722
441310,5731
443142,5731
443142,5734
443142,5735
451140,5736
711110,5812
722310,5812
722320,5812
722511,5812
722513,5812
722514,5812
722515,5812
722410,5813
446110,5912
445310,5921
453310,5932
522298,5932
451110,5941
451211,5942
453210,5943
448310,5944
451120,5945
443142,5946
453220,5947
448320,5948
451130,5949
454110,5961
454210,5962
454390,5963
722330,5963
454310,5983
454310,5984
454310,5989
453110,5992
453991,5993
451212,5994
339115,5995
446130,5995
339113,5999
443142,5999
446120,5999
446199,5999
453910,5999
453920,5999
453998,5999
521110,6011
522298,6019
522110,6021
522210,6021
522110,6022
522190,6022
522210,6022
522110,6029
522120,6035
522120,6036
522130,6061
522130,6062
522110,6081
522293,6081
522298,6081
522293,6082
522298,6082
523991,6091
522320,6099
522390,6099
523130,6099
523991,6099
522292,6111
522293,6111
522294,6111
522298,6111
522210,6141
522220,6141
522291,6141
522298,6141
522210,6153
522220,6153
522298,6153
522320,6153
523910,6153
522220,6159
522292,6159
522293,6159
522294,6159
522298,6159
522292,6162
522390,6162
522310,6163
523110,6211
523120,6211
523910,6211
523999,6211
523130,6221
523140,6221
523210,6231
523920,6282
523930,6282
523991,6289
523999,6289
524113,6311
524128,6311
524130,6311
524113,6321
524114,6321
524130,6321
525190,6321
524114,6324
524130,6324
525190,6324
524126,6331
524128,6331
524130,6331
525190,6331
524126,6351
524128,6351
524130,6351
524127,6361
524130,6361
523920,6371
524292,6371
525110,6371
525120,6371
525990,6371
524128,6399
524210,6411
524291,6411
524292,6411
524298,6411
531120,6512
711310,6512
531110,6513
531110,6514
531190,6515
531190,6517
531190,6519
531110,6531
531210,6531
531311,6531
531312,6531
531320,6531
531390,6531
812220,6531
813990,6531
541191,6541
237210,6552
812220,6553
551111,6712
551112,6719
525910,6722
525990,6726
813211,6732
523920,6733
523991,6733
525190,6733
525920,6733
523910,6792
533110,6792
533110,6794
525990,6798
531110,6798
531120,6798
531130,6798
531190,6798
523130,6799
523910,6799
523920,6799
721110,7011
721120,7011
721191,7011
721199,7011
721310,7021
721214,7032
721211,7033
721110,7041
721310,7041
812320,7211
812320,7212
812331,7213
812310,7215
812320,7216
561740,7217
812332,7218
811490,7219
812320,7219
812331,7219
541921,7221
611511,7231
812112,7231
812113,7231
611511,7241
812111,7241
811430,7251
812320,7251
812990,7251
812210,7261
812220,7261
541213,7291
532281,7299
541990,7299
561311,7299
561990,7299
812191,7299
812199,7299
812930,7299
812990,7299
541810,7311
541850,7312
541840,7313
481219,7319
541830,7319
541850,7319
541870,7319
541890,7319
